county,salary
Atlantic,72125.44339824523
Bergen,78430.41404589107
Burlington,73088.44452306822
Camden,71118.62607503428
Cape May,72918.20490716181
Charter,59817.41940789474
Cumberland,69307.6983013294
Essex,77041.16833205227
Gloucester,67408.53956547737
Hudson,80661.68761220826
Hunterdon,69285.61140104376
Mercer,75351.4668879958
Middlesex,75595.78916466507
Monmouth,73313.75437447366
Morris,74727.49663773077
Ocean,67619.19347549781
Passaic,78002.07625444488
Salem,64822.03885804917
Somerset,73680.89054005075
Sussex,76074.76487484612
Union,76145.15691158157
Warren,69648.87096774194
